Grupo;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07
ALGAR (CTBC TELECOM);416910;419315;423407;427623;431662;435735;440412;444034;445972;448310;450237;453111;455710;461712;467474;470412;472157;474852;483315;488994;490307;495973;492244;495709;498849;502101;507795;512345;517063;522534;527573;531470;531464;533731;538468;542872;546604;550214;554428;557588;559087;562847;564659
BLUE;17305;120275;121008;120760;123203;121694;123099;124591;122605;124061;123908;124559;125030;123091;118462;59274;58003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BT;40476;33795;33533;33029;33354;32559;33337;32584;33251;33455;33423;33217;33217;33313;33405;33371;33419;32622;32801;37122;32850;32615;32559;27002;25328;23292;23196;23196;22605;23560;23560;23491;23446;23403;22804;22444;22807;20680;21072;22941;22474;22650;22735
CABO;79392;77330;82658;81688;81006;81295;82472;83545;84300;85144;85231;86359;87031;86527;88964;89517;90732;91968;94271;94677;96588;97545;97940;98777;99778;100671;101617;102210;105213;105639;106362;107592;108994;110043;110230;110462;111431;111662;112100;112230;112506;112294;112024
DATORA;250;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;25;21;30;21;19;20;25
GVT;2979059;3008562;3049965;3087285;3127021;3160580;3198026;3234547;3256257;3264988;3250586;3199575;3219629;3249547;3280023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEXTEL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
OI;6543473;6525510;6488478;6459504;6466954;6446214;6449048;6436810;6425803;6397714;6384066;6372332;6375144;6372380;6362893;6365491;6371400;6388653;6400943;6396934;6400625;6413506;6415932;6412839;6420116;6429832;6416887;6425464;6415983;6425322;6431502;6386326;6374138;6346608;6327202;6304014;6282053;6253295;6226017;6211703;6203033;6193713;6180894
Outras;1983845;2032540;2060800;2110417;2162854;2178667;2201861;2247383;2355322;2362063;2266774;2346429;2282478;2355217;2435765;2457610;2550596;2598455;2677862;2777043;2799274;2835352;2882238;2936452;3034216;3102144;3311445;3327875;3457471;3660284;3772876;3817762;3880464;4063610;4163831;4431479;4845563;4919010;5126225;5294929;5405161;5556652;5637922
PREFEITURA DE LONDRINA/COPEL;142499;146044;147803;149496;151964;153025;154876;153464;154839;156168;157417;158423;159553;160481;159094;160534;162035;163322;164924;166196;166961;167555;167642;167857;167817;167812;168165;168144;168225;170806;174610;182184;190995;201381;213569;225444;235121;246250;261041;275484;288412;291150;295586
SKY/AT&T;119272;132874;153190;169879;182529;193135;204285;216259;233682;244226;256411;264053;274274;279191;282986;291187;299480;305474;308505;305910;306705;308074;311235;310150;312266;314084;330993;342684;348753;358278;367200;365688;365126;361840;365963;365012;364570;359248;358933;359393;357738;361868;368073
TELECOM AMERICAS;7591422;7653404;7731364;7784957;7837763;7876131;7930651;7985113;8024778;8068488;8092518;8110283;8147699;8158288;8198292;8283152;8310135;8399612;8441749;8476468;8505558;8530848;8547348;8512956;8528998;8545483;8577280;8580309;8585618;8600888;8642978;8711912;8763821;8818985;8868550;8894453;8953835;9005485;9065268;9110328;9149669;9166455;9192592
TELECOM ITALIA;156193;163728;171337;177458;185930;186960;194560;206265;220371;232933;242267;252323;260454;270240;276277;285619;298306;303962;312787;319504;317070;315862;322444;325595;331703;335514;341995;345222;355441;366970;378446;388340;395179;403298;410727;411464;417686;422639;430416;434280;436807;443605;448489
TELEFÔNICA;4087064;4089854;4087029;4096883;4098938;4097230;4099611;4095855;4099512;4104697;4097583;4090813;4084263;4086902;4112417;7415672;7413566;7427272;7448719;7464782;7484644;7502190;7486371;7476913;7448532;7458305;7490952;7528231;7556297;7579358;7591067;7610757;7609660;7601005;7598828;7584949;7592076;7611399;7663011;7680773;7689059;7716353;7722266
