Tecnologia;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07
ATM;262723;257582;252408;248928;243738;239630;236720;234169;231830;230400;228378;230976;225549;224386;223403;222456;222301;222940;222326;221614;220346;219651;218713;218564;193238;195051;191453;191347;188341;187255;191830;189626;188471;189324;185505;187031;187542;186723;185627;184111;183369;182128;181228
Cable Modem;7621074;7782061;7854161;7900584;7970657;8029041;8087165;8114561;8173732;8209612;8233628;8253655;8296702;8330753;8369548;8394849;8420341;8454048;8501322;8533608;8565984;8593158;8612678;8576503;8592279;8609483;8644702;8645704;8652384;8672135;8713176;8757774;8808572;8889648;8943944;8976525;9050091;9104414;9150246;9187685;9233676;9250767;9275148
DTH;4;4;4;12;4;4;84;4;4;583;4;5;130;215;1226;333;348;365;431;453;467;500;532;439;613;430;413;228;215;208;229;268;1174;1201;1795;1183;1503;1183;2591;1372;1195;1510;1376
ETHERNET;301465;296459;315700;313233;315366;315149;323459;324547;321897;319186;327001;322557;329186;338254;353056;353302;383857;374995;384804;400959;413307;422008;418856;406668;452069;431607;474445;456004;539279;573079;542487;580106;576981;599605;604754;657170;713845;744801;726966;754104;755878;738557;759065
FR;19856;22442;22023;21498;21041;20823;20836;20812;20740;19708;19303;19010;18747;18722;19076;18908;19905;17438;18296;22189;18371;18009;17656;15364;15289;15382;15626;15671;15026;13962;14671;14641;14386;14258;16374;13173;14486;14734;13198;15442;13447;14568;13792
FWA;73993;79167;76327;80535;81270;82590;83365;79842;87437;83667;85160;83642;84380;83743;86561;85688;86045;86173;93550;92589;92901;89299;93180;90951;108969;101103;103784;105384;108321;104250;115845;103541;109336;110268;119239;131929;134092;124982;141649;149592;131948;127112;135907
Fibra;990614;1016524;1041913;1070152;1098750;1132928;1165467;1185137;1225648;1255146;1269708;1293290;1303058;1321945;1385395;1413064;1446714;1486023;1525918;1584049;1627340;1663505;1696834;1739173;1963899;2028696;2003383;2092869;2251956;2358497;2465782;2563395;2668610;2768401;2868972;3065201;3215834;3292591;3568781;3702465;3894303;4175665;4427403
HFC;27442;28368;29740;29308;30232;29061;27741;31387;31651;28160;30005;29144;30304;31494;26929;28170;27991;31149;29101;29647;34659;36002;39980;40573;39302;37722;40407;40512;43016;42114;43092;42307;45339;47587;47669;55364;61872;75748;77794;78182;80359;77242;81457
LTE;152854;167490;191171;211699;228270;239728;249046;259547;275911;285269;297638;303703;313085;317058;319928;327516;335139;340899;343385;340458;340428;341365;344958;344181;345000;348459;362008;342914;348753;361563;367200;366178;365126;361840;365963;365012;365155;360327;360133;360304;360995;362068;368155
MMDS;1887;2835;2166;1922;1968;2836;2316;2399;2413;2399;2427;2074;2156;2587;2507;2691;3024;2525;2516;2316;3141;2972;3709;3353;3164;3065;3873;3155;3478;2937;2467;2664;2956;3183;3031;5179;4711;4136;3230;4105;3240;3436;3976
PLC;173;173;173;173;262;262;262;262;262;974;509;262;384;390;384;170;193;170;170;170;192;320;170;170;284;220;341;377;463;634;670;1165;752;670;824;721;1206;1251;1820;4896;3421;1120;1166
SATELITE;62208;62720;63245;63182;64114;64591;64737;65096;63751;67315;67357;67189;67092;67748;67755;68027;68802;68882;67829;71486;70217;72374;68394;66045;71013;69407;69691;71373;74024;78361;80526;77804;80711;106889;132313;133956;138318;146272;153245;153813;155306;157419;161467
Spread Spectrum;1401073;1450872;1439881;1483340;1514190;1500585;1509675;1555723;1641167;1644383;1539177;1614137;1543014;1594861;1636041;1645274;1685243;1714790;1762491;1803073;1788593;1806661;1820839;1862921;1785609;1834478;2059737;2061405;1978434;2088311;2147027;2121303;2108619;2159536;2157352;2180688;2400526;2398239;2402316;2477885;2459546;2445099;2327221
WIMAX;11546;12326;12924;12844;13035;14044;11923;12265;13216;14564;15118;15783;15647;17357;14382;16168;22563;22400;21622;24069;23488;21541;22703;18756;22816;23763;17921;27375;29563;21058;20331;20060;20728;21343;21921;24023;19671;20830;20331;22055;23424;19580;18831
xDSL;13230249;13224459;13248737;13261570;13300282;13291954;13329443;13374700;13367034;13360882;13325009;13256051;13275049;13287377;13309862;13335224;13337364;13363396;13392116;13400951;13401149;13412155;13396752;13380590;13274060;13280373;13282542;13301363;13299417;13309276;13310842;13284691;13251527;13190152;13150517;13095468;13062920;13023673;13010615;12963660;12923859;12871337;12789074
