Tecnologia;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
AMPS;6855;6636;6685;6417;6315;6240;6150;4918;4666;4372;3891;3321;3059;1269;587;509;419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDMA;11839815;11399237;10912382;10408815;9952814;9527796;9146353;8784978;8400092;8223816;7868569;7524807;7163683;6832623;6457391;6157411;5832685;5510575;5206480;4935611;4674815;4435686;4181936;3948641;3723573;3412964;3133353;2835718;2542172;2337731;2163884;2021606;1900158;1775869;1599747;1505947;1432120;1348411;1261693;1147155;1029768;932537;837303;715496;604640;524896;125060;123819;84620;83326;84003;81722;74804;59713;50057;41894;20827;23787;21637;20454;19375;18603;17651;16167;14594;13347;12440;11522;10739;10080;8851
CDMA2000;256835;253608;249753;312666;228160;218166;212369;204800;198139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8559505;11222132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados > 256kbps;667119;1536230;1646709;1730583;1868577;1983804;2107368;2304202;3190731;2862331;2982218;3117558;3204517;3353407;3462288;3495712;3555012;3665234;3749091;4013212;4088835;4156140;4299975;4382126;4460582;4557956;4650527;4728895;4796514;4878237;4978061;5076335;5164845;5230604;5374218;5559470;5628254;5773960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados Banda Larga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6252691;6245302;6340146;6430168;6527004;6584853;6717538;6756677;6769461;6942933;7007834;7056657;7094256;7050050;7047787;7041657;7040008;7025446;7034289;6990298;6957870;6936963;6866253;6809125;6743198;6647655;6623573;6578064;6515636;6439700;6433863
Dados até 256kbps;2280380;1595923;1624106;1710410;1731256;1793652;1822772;1745138;1025942;1507368;1591566;1603853;1662765;1694404;1731220;1774788;1791477;1790459;1821977;1649517;1694817;1707227;1714080;1716332;1726017;1730782;1785040;1765610;1855390;2007361;2058341;2175135;2274670;2448816;2499778;2556710;2630839;2711783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSM;135201083;136739614;138044147;141083322;143342533;145840175;148634004;150321795;151297259;153051596;157111161;155592109;156368294;158284473;159689505;162224479;163367071;164886871;167174567;168638923;170983501;173608889;178108707;178618642;180245038;182653634;183864372;185934633;186886207;188351350;190006440;190842277;192116094;195477441;199517351;198570415;198998439;197520573;197446510;197411135;196350442;195357270;194660123;194566774;193242549;190327115;195731115;194574402;190194155;188515596;186164960;183761625;180463082;178075999;175120172;171877490;169094534;165918726;159674015;157558379;154033719;150479277;146343016;142761439;138069240;134004955;129219789;125424778;123207969;118270294;112852294
LTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;14702;48459;105250;174084;257214;398622;552632;730574;923351;1309771;1566362;1822026;2077647;2494324;2828808;3270007;3675636;4166310;4658317;5144447;5780618;6764895
M2M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5960831;6174000;6324577;6299629;6440719;6651081;6766662;6916833;7082138;7192680;7371843;7548815;7769362;7874099;7958901;8033910;8173098;8175309;8296578;8378402;8482281;8668772;8823492;;;;;;;;
M2M Especial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161545;278768;402311;552516;817417;974970;1143959;1296979
M2M Padrão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8845746;8823610;8806837;8777278;8758480;8712322;8741794;8673978
TDMA;990263;909532;678645;630397;580822;541802;464233;413911;384567;355070;311304;292190;268527;236991;207638;189467;171461;146659;116202;89529;71039;36946;25440;16049;10972;8499;5;5;5;2;2;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WCDMA;1113865;1232359;1434216;1619203;1903030;2010740;2145768;2341046;3535634;3749356;4090659;7465422;8100193;8706634;9216809;9868478;10416849;11021373;11360078;12145350;12926243;13589098;14613895;16469187;17400030;18145727;19126907;19759769;21265674;22778031;24815409;27236715;30177752;31150884;33240409;36986498;38928396;43471644;45714436;45168512;46537335;47701681;49739224;50849170;52490939;55977424;52467528;53885849;58912954;61303336;63874504;66971826;70165629;73682109;77864884;80719239;84864934;88452256;94763509;97839346;101407992;105402214;109054231;114029002;118507496;122602370;128056653;132233547;134788074;140085439;144697936
